,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,baseline_amplitude,peak_trough_amplitude,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band,delta_band_freq,theta_band_freq,delta_band_magnitude,theta_band_magnitude
0,neuron_182.smr,51.22886809,50.68322981,0.278875009,-0.178029725,16.17951528,2.329894827,3.166813548,0.019492176,3.667166245,16.43554317,1.368604077,69,17.8980217,0.504878049,0.012469565,4.28E-06,0.102167647,0.018262356,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.096658328,0.032525167
1,neuron_196.smr,105.9744047,105.2597403,-0.232978955,-0.387868947,8.392326366,0.684897229,0.873321608,0.009417097,3.183676015,18.75165943,0.599496387,7,40.72664748,0.025798526,0.008757143,1.74E-07,0.946666667,1.816744836,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.118787464,0.035683131
2,neuron_141.smr,111.2136207,110.7112971,0.422331547,-0.155739474,10.16549809,1.210261199,1.656834759,0.008984,1.931098691,5.643267694,0.622481775,43,42.93913911,0.097285068,0.006972093,1.08E-06,0.261497619,0.184123525,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.069418289,0.029454391
3,neuron_155.smr,110.3644455,110.049505,0.097168901,-0.435340296,10.46781399,0.258062347,0.36658696,0.009061366,2.776866064,8.683186673,1.213194709,385,42.58033337,0.518634935,0.006637403,9.00E-07,0.045866146,0.004201096,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.07817544,0.031966868
4,neuron_169.smr,29.45967707,29.37694704,0.896483027,1.000239955,20.00799464,1.70023783,2.17150672,0.033865393,5.486714802,39.3406176,1.651314119,83,9.164642494,0.527542373,0.020095181,2.33E-05,0.164473171,0.119232799,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.066350226,0.013419432
5,neuron_343.smr,55.98146546,55.64356436,0.333448756,0.009226112,15.58419365,2.680475168,3.671653842,0.017754448,2.82741048,11.19145536,1.175288522,110,19.84646,0.586145648,0.010270909,4.57E-06,0.073956881,0.012265589,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.085477977,0.036769782
6,neuron_357.smr,63.06666667,62.93333333,0.774956675,0.042015313,8.496751412,0.692197714,0.950096727,0.015825079,0.945720746,0.990966886,0.45636636,22,22.76825694,0.069767442,0.012668182,2.65E-06,0.319304762,0.160149733,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.1377676,0.036451407
7,neuron_237.smr,76.7641213,76.60098522,0.478246678,-0.431632754,10.65946494,0.85171544,1.098363286,0.012997506,2.487255638,7.283550149,0.902119692,63,28.46091069,0.242618742,0.009358889,2.57E-06,0.150050645,0.032702466,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.081596467,0.03618972
8,neuron_223.smr,102.9135739,102.287234,-0.411418047,-0.223330205,9.158423784,0.800233128,1.112562743,0.00970778,5.194584834,43.63167114,0.611977689,2,39.43553054,0.006217617,0.0079,9.00E-08,2.0633,0,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.094504749,0.026126079
9,neuron_035.smr,11.70027384,11.67701863,0.976728449,-0.047396694,16.40808775,0.393112118,0.5711592,0.083890753,3.301482603,10.9065208,1.740831733,0,,0,,,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.088382039,0.018147457
10,neuron_021.smr,32.39993831,32.25925926,0.816608247,1.828347332,2.516860144,0.575195201,0.877420177,0.030866789,0.597596899,2.303619731,0.357394836,8,10.31763312,0.054919908,0.02085,2.75E-05,0.350982857,0.1165402,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.080828435,0.038179559
11,neuron_009.smr,7.750496032,7.725,0.253744034,-0.699557043,5.381796117,0.040198463,0.057758947,0.12887013,1.013610448,1.627477011,0.60058909,0,,0,,,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.082239517,0.026879045
